Top 2000 Bigram — Ortalama TF-IDF Skoru
Toplam bigram: 25,187
======================================================================
Sıra   Bigram                            Genel       1★       2★       3★       4★       5★
======================================================================
1      tavsiye ederim                  0.01491  0.00125  0.00218  0.01016  0.01487  0.01683
2      bir ürün                        0.01286  0.00521  0.00711  0.01135  0.01482  0.01295
3      çok iyi                         0.01127  0.00142  0.00337  0.00580  0.01089  0.01308
4      çok güzel                       0.00796  0.00100  0.00217  0.00508  0.00682  0.00941
5      bu fiyata                       0.00653  0.00171  0.00347  0.00687  0.00687  0.00667
6      hızlı kargo                     0.00617  0.00047  0.00050  0.00237  0.00359  0.00826
7      güzel bir                       0.00602  0.00064  0.00205  0.00508  0.00761  0.00598
8      gayet güzel                     0.00553  0.00033  0.00102  0.00408  0.00701  0.00562
9      gayet iyi                       0.00514  0.00034  0.00157  0.00424  0.00758  0.00473
10     ürün çok                        0.00465  0.00310  0.00236  0.00277  0.00373  0.00547
11     teşekkür ederim                 0.00437  0.00039  0.00051  0.00244  0.00295  0.00556
12     güzel ürün                      0.00420  0.00013  0.00058  0.00247  0.00485  0.00458
13     uygun fiyat                     0.00406  0.00028  0.00008  0.00159  0.00239  0.00543
14     memnun kaldım                   0.00405  0.00018  0.00042  0.00205  0.00405  0.00471
15     iyi bir                         0.00398  0.00112  0.00260  0.00469  0.00574  0.00338
16     çok hızlı                       0.00354  0.00043  0.00098  0.00140  0.00225  0.00462
17     çok memnun                      0.00352  0.00050  0.00057  0.00140  0.00284  0.00437
18     kesinlikle tavsiye              0.00345  0.00428  0.00048  0.00138  0.00218  0.00435
19     tavsiye ediyorum                0.00326  0.00020  0.00021  0.00166  0.00277  0.00397
20     bu ürünü                        0.00307  0.00305  0.00322  0.00271  0.00364  0.00292
21     daha iyi                        0.00306  0.00298  0.00471  0.00440  0.00425  0.00232
22     ürün tavsiye                    0.00298  0.00028  0.00038  0.00201  0.00310  0.00332
23     çok uygun                       0.00295  0.00009  0.00091  0.00196  0.00294  0.00333
24     ürün gayet                      0.00293  0.00030  0.00042  0.00202  0.00349  0.00309
25     gerçekten çok                   0.00292  0.00085  0.00088  0.00164  0.00280  0.00335
26     kaliteli bir                    0.00288  0.00095  0.00155  0.00192  0.00262  0.00327
